self.average,other.average,self.detected,other.detected,mean.logFC.cohen,min.logFC.cohen,median.logFC.cohen,max.logFC.cohen,rank.logFC.cohen,mean.AUC,min.AUC,median.AUC,max.AUC,rank.AUC,mean.logFC.detected,min.logFC.detected,median.logFC.detected,max.logFC.detected,rank.logFC.detected,gene,cluster
3.0280400330563655,0.8992800457470415,0.9852941176470589,0.6115860199252725,2.8764597042982327,2.8764597042982327,2.8764597042982327,2.8764597042982327,1,0.9657966338397824,0.9657966338397823,0.9657966338397823,0.9657966338397823,1,0.6951893616787713,0.6951893616787713,0.6951893616787713,0.6951893616787713,5704,Clu,Collecting Duct
2.04394900845493,0.16954222886674122,0.9012605042016807,0.17826630155523207,2.7297486229140295,2.729748622914029,2.729748622914029,2.729748622914029,2,0.9379620042859551,0.9379620042859551,0.9379620042859551,0.9379620042859551,2,2.5737582536499013,2.5737582536499013,2.5737582536499013,2.5737582536499013,672,Hsd11b2,Collecting Duct
1.7485092649440417,0.691080189076702,0.9453781512605042,0.5453552343933011,2.281428153613765,2.281428153613765,2.281428153613765,2.281428153613765,3,0.9258295008547834,0.9258295008547832,0.9258295008547832,0.9258295008547832,3,1.2206655597626732,1.2206655597626732,1.2206655597626732,1.2206655597626732,3143,Atp1b1,Collecting Duct
1.2869100378601481,0.21012134896585624,0.8466386554621849,0.20614489988136872,2.1771704456839416,2.1771704456839416,2.1771704456839416,2.1771704456839416,4,0.9022808263706629,0.9022808263706629,0.9022808263706629,0.9022808263706629,4,3.1243130050980445,3.124313005098044,3.124313005098044,3.124313005098044,369,Tacstd2,Collecting Duct
1.431194182626758,0.20163328117521168,0.8487394957983193,0.19624125612410215,2.0576804192355937,2.0576804192355937,2.0576804192355937,2.0576804192355937,5,0.8974801955166021,0.8974801955166021,0.8974801955166021,0.8974801955166021,5,2.433979542121463,2.433979542121463,2.433979542121463,2.433979542121463,735,Defb1,Collecting Duct
1.3705055532069967,0.45751331177912014,0.8844537815126049,0.32499734541909775,2.0216476980310936,2.0216476980310936,2.0216476980310936,2.0216476980310936,6,0.893714935831066,0.893714935831066,0.893714935831066,0.893714935831066,6,1.952680077939495,1.952680077939495,1.952680077939495,1.952680077939495,1327,Wfdc2,Collecting Duct
1.2264592344704512,0.2955904293869678,0.865546218487395,0.30000921717759454,1.982007691224847,1.982007691224847,1.982007691224847,1.982007691224847,7,0.8883514723941152,0.8883514723941153,0.8883514723941153,0.8883514723941153,7,2.1350095853566624,2.1350095853566624,2.1350095853566624,2.1350095853566624,1087,Nudt4,Collecting Duct
1.0867385342736022,0.29834506938358196,0.8277310924369747,0.3122229745470058,1.9583780021927761,1.9583780021927761,1.9583780021927761,1.9583780021927761,8,0.8776817317184752,0.8776817317184753,0.8776817317184753,0.8776817317184753,8,2.506877446273268,2.5068774462732675,2.5068774462732675,2.5068774462732675,701,Cdh16,Collecting Duct
1.204779336565599,0.08458077761873091,0.7815126050420168,0.09426657267598575,1.8063790015075019,1.8063790015075019,1.8063790015075019,1.8063790015075019,11,0.8718878668946087,0.8718878668946088,0.8718878668946088,0.8718878668946088,9,3.289349160710148,3.2893491607101475,3.2893491607101475,3.2893491607101475,305,1600029D21Rik,Collecting Duct
1.0177598232207203,0.15636926978707485,0.7899159663865546,0.1637896753346742,1.877159016408916,1.877159016408916,1.877159016408916,1.877159016408916,10,0.8703318003419132,0.8703318003419133,0.8703318003419133,0.8703318003419133,10,2.9827950397783285,2.982795039778329,2.982795039778329,2.982795039778329,431,Cldn7,Collecting Duct
0.9512485570971944,0.1643061906601941,0.773109243697479,0.16629470301583774,1.895976025182304,1.8959760251823041,1.8959760251823041,1.8959760251823041,9,0.8691338999783296,0.8691338999783295,0.8691338999783295,0.8691338999783295,11,3.4962020101987146,3.4962020101987146,3.4962020101987146,3.4962020101987146,231,Epcam,Collecting Duct
0.9861774454685228,0.28840610621182383,0.7815126050420168,0.2736262822058457,1.7935955317715826,1.7935955317715824,1.7935955317715824,1.7935955317715824,12,0.8622143699886832,0.8622143699886832,0.8622143699886832,0.8622143699886832,12,2.926779081325439,2.9267790813254395,2.9267790813254395,2.9267790813254395,441,Krt8,Collecting Duct
1.5100825360664551,0.11842547075825244,0.7605042016806723,0.1284945864593908,1.724936646449009,1.7249366464490086,1.7249366464490086,1.7249366464490086,13,0.8544340372252054,0.8544340372252053,0.8544340372252053,0.8544340372252053,13,2.533974779852313,2.533974779852313,2.533974779852313,2.533974779852313,685,Aqp2,Collecting Duct
1.1408987720050596,0.26603021809522986,0.8487394957983193,0.23989393139623744,1.6692573790634737,1.6692573790634735,1.6692573790634735,1.6692573790634735,14,0.8539614986395705,0.8539614986395705,0.8539614986395705,0.8539614986395705,14,1.805948319508421,1.805948319508421,1.805948319508421,1.805948319508421,1479,Mal,Collecting Duct
2.7740367564908444,2.20111959977736,1,0.9865417196993129,1.345131937047607,1.345131937047607,1.345131937047607,1.345131937047607,30,0.840435457850762,0.840435457850762,0.840435457850762,0.840435457850762,15,0.04182017569462722,0.041820175694627225,0.041820175694627225,0.041820175694627225,9303,mt-Co1,Collecting Duct
1.2544634143452567,0.3988248800447265,0.8445378151260504,0.3581524318229039,1.5152320089545688,1.5152320089545688,1.5152320089545688,1.5152320089545688,17,0.837467795140979,0.837467795140979,0.837467795140979,0.837467795140979,16,1.1747806122116755,1.1747806122116755,1.1747806122116755,1.1747806122116755,3291,S100a1,Collecting Duct
